"(u'big', u'name', u'investors', u'voicing', u'bitcoin', u'optimism', u'louder', u'negative', u'colleagues')","October 13, 2017"
"(u'nordic', u'law', u'firm', u'accepts', u'bitcoin', u'payments')","October 13, 2017"
"(u'zenapay', u'latest', u'pos', u'bitcoin', u'solution', u'enter', u'projected', u'billion', u'cannabis', u'market')","October 13, 2017"
"(u'remittance', u'startup', u'bitspark', u'drops', u'bitcoin', u'network', u'fees')","October 13, 2017"
"(u'fueled', u'bitcoin', u'fintech', u'booms', u'europe', u'banking', u'cartels', u'aim', u'slow.')","October 13, 2017"
"(u'markets', u'update', u'bitcoin', u'price', u'peaks', u'past', u'across', u'global', u'exchanges')","October 13, 2017"
"(u'uk', u'tickmill', u'adds', u'bitcoin', u'forex', u'platform')","October 12, 2017"
"(u'iranian', u'computer', u'hardware', u'company', u'accepts', u'bitcoin')","October 12, 2017"
"(u'swedish', u'officials', u'settle', u'first', u'debt', u'bitcoin')","October 12, 2017"
"(u'users', u'store', u'exchange', u'bitcoin', u'cash', u'via', u'blockchain', u'wallet')","October 12, 2017"
"(u'bitcoin', u'surges', u'past', u'usd', u'establish', u'new', u'all-', u'time', u'high')","October 12, 2017"
"(u'sec', u'unprepared', u'bitcoin', u'applications', u'denied', u'withdrawn', u'result')","October 12, 2017"
"(u'bitcoin.', u'org', u'publishes', u'list', u'businesses', u'miners', u'supporting', u'fork')","October 12, 2017"
"(u'south', u'korean', u'payment', u'app', u'toss', u'add', u'bitcoin', u'transactions')","October 12, 2017"
"(u'bitcoin', u'gold', u'project', u'responds', u'negative', u'criticism')","October 11, 2017"
"(u'japan', u'emerges', u'world', u'foremost', u'hotbed', u'bitcoin', u'trading')","October 11, 2017"
"(u'cambodia', u'first', u'bitcoin', u'point-', u'of-', u'sale', u'system', u'debuts', u'amid', u'currency', u'debate')","October 11, 2017"
"(u'panama', u'city', u'strip', u'mall', u'merchants', u'embrace', u'bitcoin', u'customers')","October 11, 2017"
"(u'two', u'bitcoin', u'startups', u'reveal', u'hard', u'fork', u'contingency', u'plans')","October 11, 2017"
"(u'roboforex', u'launches', u'cfd', u'trading', u'bitcoin')","October 10, 2017"
