"(u'nasdaq', u'mccooey', u'ipo', u'pipeline', u'asia', u'bitcoin')"," Oct 12, 2017 "
"(u'people', u'buy', u'bitcoin', u'world')"," Oct 12, 2017 "
"(u'top', u'bank', u'canada', u'deputy', u'see', u'bitcoin', u'oust', u'cash', u'yet')"," Oct 12, 2017 "
"(u'bitcoin', u'buy', u'citizenship', u'one', u'happiest', u'country')"," Oct 12, 2017 "
"(u'bitcoin', u'mania', u'take', u'cryptocurrency', u'surge', u'past')"," Oct 12, 2017 "
"(u'english', u'soccer', u'wheeler-', u'dealer', u'harry', u'redknapp', u'join', u'cryptocurrency', u'frenzy')"," Oct 12, 2017 "
"(u'dimon', u'go', u'talk', u'bitcoin', u'anymore')"," Oct 12, 2017 "
"(u'hive', u'switch', u'mine', u'gold', u'bitcoin', u'surge', u'six-', u'fold')"," Oct 12, 2017 "
"(u'bitcoin', u'blast', u'level', u'first', u'time')"," Oct 12, 2017 "
"(u'bitcoin', u'climb', u'hit', u'another', u'record', u'high')"," Oct 12, 2017 "
"(u'bitcoin', u'retake', u'place', u'king', u'cryptocurrencies')"," Oct 11, 2017 "
"(u'bitcoin', u'bubble', u'ditch', u'facebook')"," Oct 11, 2017 "
"(u'russia', u'diy', u'cryptocurrency', u'miner', u'fall', u'shadow', u'kremlin')"," Oct 11, 2017 "
"(u'global', u'regulator', u'play', u'bitcoin', u'whack-', u'a-', u'mole', u'demand', u'explodes')"," Oct 11, 2017 "
"(u'canvas', u'venture', u'lynn', u'bitcoin', u'diversity', u'tech')"," Oct 10, 2017 "
"(u'ubs', u'ceo', u'ermotti', u'client', u'sentiment', u'feed', u'bitcoin')"," Oct 10, 2017 "
"(u'ubs', u'ceo', u'say', u'wealthy', u'skeptical', u'bitcoin')"," Oct 10, 2017 "
"(u'wealthy', u'remain', u'curious', u'skeptical', u'bitcoin', u'ubs', u'ceo', u'say')"," Oct 10, 2017 "
"(u'putin', u'back', u'cryptocurrency', u'rule', u'warn', u'serious', u'risk')"," Oct 10, 2017 "
"(u'welcome', u'crypto', u'valley')"," Oct 10, 2017 "
"(u'dimon', u'call', u'bitcoin', u'fraud', u'jpmorgan', u'cite', u'price')"," Oct 6, 2017 "
"(u'bitcoin', u'value', u'metric', u'lie', u'obfuscate')"," Oct 6, 2017 "
"(u'bank', u'debate', u'whether', u'get', u'cryptocurrencies')"," Oct 5, 2017 "
"(u'crypto', u'coin', u'sale', u'get', u'fresh', u'regulatory', u'scrutiny', u'ecb', u'weighs')"," Oct 5, 2017 "
"(u'bitcoin', u'rise', u'happen', u'shadow', u'finance.', u'bank', u'want')"," Oct 5, 2017 "
"(u'mind-', u'boggling', u'math', u'could', u'make', u'blockchain', u'work', u'wall', u'street')"," Oct 5, 2017 "
"(u'biotech', u'company', u'change', u'name', u'riot', u'blockchain', u'stock', u'surge')"," Oct 4, 2017 "
"(u'mark', u'cuban', u'nfl', u'protest', u'trump', u'bitcoin')"," Oct 3, 2017 "
"(u'mark', u'cuban', u'confirm', u'stake', u'twitter', u'bitcoin')"," Oct 3, 2017 "
"(u'blankfein', u'tweet', u'bitcoin', u'paper', u'money', u'odd')"," Oct 3, 2017 "
"(u'blackrock', u'etf', u'chief', u'launch', u'bitcoin', u'fund')"," Oct 3, 2017 "
"(u'bitcoin', u'trader', u'index', u'fund')"," Oct 3, 2017 "
"(u'bitcoin', u'like', u'airline', u'mile', u'say', u'jpm', u'john', u'normand')"," Oct 3, 2017 "
"(u'dangerous', u'ignore', u'blockchain', u'cryptocurrencies')"," Oct 2, 2017 "
"(u'goldman', u'sachs', u'say', u'explore', u'bitcoin', u'venture')"," Oct 2, 2017 "
"(u'goldman', u'sachs', u'love', u'bitcoin', u'spurn', u'jpmorgan', u'chase')"," Oct 2, 2017 "
"(u'startup', u'want', u'vanguard', u'cryptocurrencies')"," Oct 2, 2017 "
"(u'goldman', u'sachs', u'explore', u'starting', u'bitcoin', u'trading', u'venture')"," Oct 2, 2017 "
"(u'cryptocurrency', u'flash', u'crash', u'say', u'draw', u'scrutiny', u'cftc')"," Oct 2, 2017 "
"(u'bitcoin', u'signal', u'global', u'capital', u'flow')"," Sep 29, 2017 "
"(u'former', u'treasury', u'sec.', u'lew', u'gop', u'tax', u'plan', u'bitcoin', u'fed')"," Sep 29, 2017 "
"(u'trader', u'think', u'twice', u'bitcoin', u'bubble')"," Sep 29, 2017 "
"(u'guy', u'call', u'bitcoin', u'bubble', u'want', u'help', u'store')"," Sep 29, 2017 "
"(u'bitcoin', u'bubble', u'buff', u'history', u'kind')"," Sep 29, 2017 "
"(u'cryptocurrencies', u'drop', u'south', u'korea', u'ban', u'icos', u'margin', u'trading')"," Sep 29, 2017 "
"(u'pay', u'send', u'bitcoin', u'user', u'rethink', u'practicality')"," Sep 29, 2017 "
"(u'cryptocurrency', u'exchange', u'get', u'nod', u'operate', u'first', u'japan')"," Sep 29, 2017 "
"(u'chanos', u'say', u'cryptocurrencies', u'seem', u'little', u'bit', u'frothy')"," Sep 28, 2017 "
"(u'bitcoin', u'market', u'favorite', u'buzzword')"," Sep 28, 2017 "
"(u'bitcoin', u'investment', u'trust', u'exchange-', u'listing', u'hope', u'put', u'hold')"," Sep 28, 2017 "
